Reporting Period,County,Age,Number of Eligible Individuals
2015-01,San Diego,9,18621
2015-01,San Diego,10,18040
2015-01,San Diego,11,17324
2015-01,San Diego,12,17121
2015-01,San Diego,13,16907
2015-01,San Diego,14,17052
2015-01,San Diego,15,16725
2015-01,San Diego,16,16760
2015-01,San Diego,17,16389
2015-01,San Diego,18,16317
2015-01,San Diego,19,12378
2015-01,San Diego,20,11721
2015-01,San Francisco,0,3426
2015-01,San Francisco,1,2992
2015-01,San Francisco,2,3127
2015-01,San Francisco,3,2868
2015-01,San Francisco,4,2744
2015-01,San Francisco,5,2913
2015-01,San Francisco,6,3069
2015-01,San Francisco,7,3001
2015-01,San Francisco,8,2774
2015-01,San Francisco,9,2731
2015-01,San Francisco,10,2808
2015-01,San Francisco,11,2626
2015-01,San Francisco,12,2549
2015-01,San Francisco,13,2602
2015-01,San Francisco,14,2686
2015-01,San Francisco,15,2661
2015-01,San Francisco,16,2711
2015-01,San Francisco,17,2775
2015-01,San Francisco,18,3004
2015-01,San Francisco,19,2367
2015-01,San Francisco,20,2414
2015-01,San Joaquin,0,7452
2015-01,San Joaquin,1,6669
2015-01,San Joaquin,2,6966
2015-01,San Joaquin,3,6725
2015-01,San Joaquin,4,7029
2015-01,San Joaquin,5,7150
2015-01,San Joaquin,6,7137
2015-01,San Joaquin,7,7279
2015-01,San Joaquin,8,7296
2015-01,San Joaquin,9,6841
2015-01,San Joaquin,10,6476
2015-01,San Joaquin,11,6350
2015-01,San Joaquin,12,6148
2015-01,San Joaquin,13,6005
2015-01,San Joaquin,14,6013
2015-01,San Joaquin,15,5736
2015-01,San Joaquin,16,5595
2015-01,San Joaquin,17,5594
2015-01,San Joaquin,18,5374
2015-01,San Joaquin,19,4764
2015-01,San Joaquin,20,4390
2015-01,San Luis Obispo,0,1394
2015-01,San Luis Obispo,1,1355
2015-01,San Luis Obispo,2,1364
2015-01,San Luis Obispo,3,1290
2015-01,San Luis Obispo,4,1385
2015-01,San Luis Obispo,5,1371
2015-01,San Luis Obispo,6,1349
2015-01,San Luis Obispo,7,1486
2015-01,San Luis Obispo,8,1390
2015-01,San Luis Obispo,9,1313
2015-01,San Luis Obispo,10,1406
2015-01,San Luis Obispo,11,1227
2015-01,San Luis Obispo,12,1142
2015-01,San Luis Obispo,13,1160
2015-01,San Luis Obispo,14,1175
2015-01,San Luis Obispo,15,1111
2015-01,San Luis Obispo,16,1163
2015-01,San Luis Obispo,17,1129
2015-01,San Luis Obispo,18,1064
2015-01,San Luis Obispo,19,863
2015-01,San Luis Obispo,20,830
2015-01,San Mateo,0,3231
2015-01,San Mateo,1,3071
2015-01,San Mateo,2,2982
2015-01,San Mateo,3,3061
2015-01,San Mateo,4,2954
2015-01,San Mateo,5,3074
2015-01,San Mateo,6,3179
2015-01,San Mateo,7,3151
2015-01,San Mateo,8,3063
2015-01,San Mateo,9,2890
2015-01,San Mateo,10,2736
2015-01,San Mateo,11,2827
2015-01,San Mateo,12,2701
2015-01,San Mateo,13,2639
2015-01,San Mateo,14,2698
2015-01,San Mateo,15,2611
2015-01,San Mateo,16,2577
2015-01,San Mateo,17,2577
2015-01,San Mateo,18,2633
2015-01,San Mateo,19,2085
2015-01,San Mateo,20,1906
2015-01,Santa Barbara,0,4356
2015-01,Santa Barbara,1,3822
2015-01,Santa Barbara,2,3567
2015-01,Santa Barbara,3,3690
2015-01,Santa Barbara,4,3658
2015-01,Santa Barbara,5,3715
2015-01,Santa Barbara,6,3833
2015-01,Santa Barbara,7,3833
2015-01,Santa Barbara,8,3631
2015-01,Santa Barbara,9,3511
2015-01,Santa Barbara,10,3335
2015-01,Santa Barbara,11,3061
2015-01,Santa Barbara,12,2849
2015-01,Santa Barbara,13,2887
2015-01,Santa Barbara,14,2774
2015-01,Santa Barbara,15,2685
2015-01,Santa Barbara,16,2725
2015-01,Santa Barbara,17,2608
2015-01,Santa Barbara,18,2438
2015-01,Santa Barbara,19,1980
2015-01,Santa Barbara,20,1839
2015-01,Santa Clara,0,9072
2015-01,Santa Clara,1,8230
2015-01,Santa Clara,2,8324
2015-01,Santa Clara,3,8168
2015-01,Santa Clara,4,8127
2015-01,Santa Clara,5,8574
2015-01,Santa Clara,6,9020
2015-01,Santa Clara,7,9070
2015-01,Santa Clara,8,8923
2015-01,Santa Clara,9,8438
2015-01,Santa Clara,10,8021
2015-01,Santa Clara,11,8164
2015-01,Santa Clara,12,8204
2015-01,Santa Clara,13,7983
2015-01,Santa Clara,14,7992
2015-01,Santa Clara,15,7494
2015-01,Santa Clara,16,7375
2015-01,Santa Clara,17,7440
2015-01,Santa Clara,18,7306
2015-01,Santa Clara,19,5822
2015-01,Santa Clara,20,5701
2015-01,Santa Cruz,0,2010
2015-01,Santa Cruz,1,1712
2015-01,Santa Cruz,2,1723
2015-01,Santa Cruz,3,1762
2015-01,Santa Cruz,4,1665
2015-01,Santa Cruz,5,1744
2015-01,Santa Cruz,6,1878
2015-01,Santa Cruz,7,1933
2015-01,Santa Cruz,8,1863
2015-01,Santa Cruz,9,1648
2015-01,Santa Cruz,10,1642
2015-01,Santa Cruz,11,1636
2015-01,Santa Cruz,12,1545
2015-01,Santa Cruz,13,1489
2015-01,Santa Cruz,14,1406
2015-01,Santa Cruz,15,1407
2015-01,Santa Cruz,16,1378
2015-01,Santa Cruz,17,1436
2015-01,Santa Cruz,18,1337
2015-01,Santa Cruz,19,1006
2015-01,Santa Cruz,20,1043
2015-01,Shasta,0,1585
2015-01,Shasta,1,1518
2015-01,Shasta,2,1390
2015-01,Shasta,3,1299
2015-01,Shasta,4,1345
2015-01,Shasta,5,1341
